"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API тесты для Stellar Burgers","Работа с пользователем","Успешная регистрация нового пользователя","0","0","1","0","0"
"API тесты для Stellar Burgers","Обновление данных пользователя","Обновление профиля с аутентификацией","0","0","1","0","0"
"API тесты для Stellar Burgers","Работа с заказами","Создание заказа с аутентификацией","0","0","1","0","0"
"API тесты для Stellar Burgers","Работа с заказами","Создание заказа с невалидными ингредиентами","0","0","1","0","0"
"API тесты для Stellar Burgers","Работа с пользователем","Регистрация без пароля","0","0","1","0","0"
"API тесты для Stellar Burgers","Работа с пользователем","Регистрация дубликата пользователя","0","0","1","0","0"
"API тесты для Stellar Burgers","Получение заказов пользователя","Получение заказов с валидной аутентификацией","0","0","1","0","0"
"API тесты для Stellar Burgers","Работа с заказами","Создание пустого заказа","0","0","1","0","0"
"API тесты для Stellar Burgers","Аутентификация пользователя","Попытка входа без пароля","0","0","1","0","0"
"API тесты для Stellar Burgers","Обновление данных пользователя","Обновление профиля без аутентификации","0","0","1","0","0"
"API тесты для Stellar Burgers","Аутентификация пользователя","Успешный вход с валидными данными","0","0","1","0","0"
"API тесты для Stellar Burgers","Работа с заказами","Создание заказа без аутентификации","0","0","1","0","0"
"API тесты для Stellar Burgers","Получение заказов пользователя","Получение заказов без аутентификации","0","0","1","0","0"
"API тесты для Stellar Burgers","Аутентификация пользователя","Попытка входа с неверными данными","0","0","1","0","0"
