"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 30 20:32:03 MSK 2025","Fri May 30 20:32:04 MSK 2025","1166","","UserCreationTests","","UserCreationTests","registerNewUserSuccessfully","registerNewUserSuccessfully",""
"passed","Fri May 30 20:31:52 MSK 2025","Fri May 30 20:31:55 MSK 2025","2667","","UserUpdateTests","","UserUpdateTests","updateUserProfileWithAuth","updateUserProfileWithAuth",""
"passed","Fri May 30 20:31:55 MSK 2025","Fri May 30 20:31:59 MSK 2025","4106","","OrderTests","","OrderTests","createOrderWithAuth","createOrderWithAuth",""
"passed","Fri May 30 20:32:00 MSK 2025","Fri May 30 20:32:01 MSK 2025","1119","","OrderTests","","OrderTests","createOrderWithInvalidIngredients","createOrderWithInvalidIngredients",""
"passed","Fri May 30 20:32:03 MSK 2025","Fri May 30 20:32:03 MSK 2025","123","","UserCreationTests","","UserCreationTests","registerUserWithoutPassword","registerUserWithoutPassword",""
"passed","Fri May 30 20:32:01 MSK 2025","Fri May 30 20:32:03 MSK 2025","1380","","UserCreationTests","","UserCreationTests","registerDuplicateUser","registerDuplicateUser",""
"passed","Fri May 30 20:31:46 MSK 2025","Fri May 30 20:31:51 MSK 2025","5115","","UserOrdersTest","","UserOrdersTest","getOrdersWithValidAuth","getOrdersWithValidAuth",""
"passed","Fri May 30 20:31:59 MSK 2025","Fri May 30 20:32:00 MSK 2025","1119","","OrderTests","","OrderTests","createEmptyOrder","createEmptyOrder",""
"passed","Fri May 30 20:31:42 MSK 2025","Fri May 30 20:31:44 MSK 2025","2016","","UserLoginTests","","UserLoginTests","loginAttemptWithoutPassword","loginAttemptWithoutPassword",""
"passed","Fri May 30 20:31:51 MSK 2025","Fri May 30 20:31:52 MSK 2025","1272","","UserUpdateTests","","UserUpdateTests","updateUserProfileWithoutAuth","updateUserProfileWithoutAuth",""
"passed","Fri May 30 20:31:44 MSK 2025","Fri May 30 20:31:46 MSK 2025","1573","","UserLoginTests","","UserLoginTests","successfulLoginWithValidCredentials","successfulLoginWithValidCredentials",""
"passed","Fri May 30 20:31:59 MSK 2025","Fri May 30 20:31:59 MSK 2025","127","","OrderTests","","OrderTests","createOrderWithoutAuth","createOrderWithoutAuth",""
"passed","Fri May 30 20:31:46 MSK 2025","Fri May 30 20:31:46 MSK 2025","114","","UserOrdersTest","","UserOrdersTest","getOrdersWithoutAuth","getOrdersWithoutAuth",""
"passed","Fri May 30 20:31:46 MSK 2025","Fri May 30 20:31:46 MSK 2025","135","","UserLoginTests","","UserLoginTests","loginAttemptWithInvalidCredentials","loginAttemptWithInvalidCredentials",""
